kelurahan_id,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,tanggal_kejadian,lama_genangan,jumlah_hilang,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,bulan_kejadian,terjadi_banjir,ketinggian_air_min,ketinggian_air_max
57,14,1,1,0,0, 4 ,0,0,0,0,4,1,20,50
32,"02, 04, 05, 06, 09",5,10,0,0, 03,0,0,0,0,5,1,10,40
33,"07, 08",2,2,0,0, 03,0,0,0,0,5,1,10,30
34,"01, 03, 04, 09, 13",5,4,7,20," 03, 20",0,0,9,1,5,2,10,120
34,"03, 09",2,2,0,0, 28,0,0,0,0,11,1,10,30
34,"1, 3",2,3,0,0, 13,0,0,0,0,12,1,10,100
29,"01, 02, 05",3,4,0,0, 03,0,0,0,0,5,1,10,60
29,5,1,1,0,0, 10,0,0,0,0,12,1,70,70
24,"01, 07",2,2,0,0, 03,0,0,0,0,5,1,20,40
58,02,1,4,0,0, 03,0,0,0,0,5,1,40,40
58,"1, 2, 3, 5",4,27,0,0," 10, 12, 13",0,0,0,0,12,3,10,40
60,5,1,1,0,0, 25,0,0,0,0,6,1,30,60
60,5,1,4,0,0, 09,0,0,0,0,11,1,10,20
61,10,1,1,0,0, 25,0,0,0,0,6,1,10,30
61,10,1,2,0,0, 13,0,0,0,0,12,1,30,80
62,1,1,3,0,0, 29,0,0,0,0,10,1,10,40
4,22,1,1,0,0," 26, 29",0,0,0,0,11,2,2,15
4,22,1,1,0,0," 4, 5, 7",0,0,0,0,12,3,5,10
25,"05, 07",2,4,0,0, 28,0,0,0,0,11,1,60,70
63,5,1,1,0,0, 11,0,0,0,0,11,1,10,30
63,"03, 05",2,4,0,0, 11,0,0,0,0,12,1,10,50
26,"02, 06",2,2,0,0, 4,0,0,0,0,12,1,20,60
30,9,1,5,0,0, 10,0,0,0,0,12,1,30,30
59,6,1,1,0,0, 13,0,0,0,0,12,1,20,40
45,9,1,4,210,800, 3,0,0,0,0,12,1,20,20
